kategoria,transkrypt,gc_5prime,gc_overall,dlugosc
INTERGENIC,"ENSG00000230021[8,12,3]|retro_human_9205|CICP3-201|processed_pseudogene|chr1:146488-151124(-)",0.6,0.5289256198347108,484
INTERGENIC,"ENSG00000223663[1,1,1]|retro_human_7358|NDUFB4P8-201|processed_pseudogene|chr1:809162-809629(+)",0.57,0.4689507494646681,467
INTERGENIC,"ENSG00000224904[1,1,1]|retro_human_7777|SBF1P2-201|processed_pseudogene|chr1:11421822-11424559(+)",0.6,0.6170990135184509,2737
INTERGENIC,"ENSG00000235084[1,1,1]|retro_human_8340|CHCHD2P6-201|processed_pseudogene|chr1:15049257-15049804(+)",0.71,0.5923217550274223,547
INTERGENIC,"ENSG00000236500[1,1,1]|retro_human_336|CD24P1-201|processed_pseudogene|chr1:15059304-15059629(-)",0.57,0.47692307692307695,325
INTERGENIC,"ENSG00000233929[1,1,1]|retro_human_338|MT1XP1-201|processed_pseudogene|chr1:15682495-15682781(-)",0.59,0.5664335664335665,286
INTERGENIC,"ENSG00000236698[1,1,1]|retro_human_341|EIF1AXP1-201|processed_pseudogene|chr1:16401182-16401717(-)",0.56,0.4074766355140187,535
INTERGENIC,"ENSG00000225478[1,1,1]|AL031737.1-201|processed_pseudogene|chr1:18415442-18415765(+)",0.4,0.38390092879256965,323
INTERGENIC,"ENSG00000214973[1,1,1]|retro_human_5477|CHCHD3P3-201|processed_pseudogene|chr1:27042009-27042749(-)",0.68,0.5108108108108108,740
INTERGENIC,"ENSG00000228589[1,1,1]|retro_human_10996|SPCS2P4-201|processed_pseudogene|chr1:27937524-27938305(-)",0.58,0.45966709346991036,781
INTERGENIC,"ENSG00000224333[1,1,1]|retro_human_4221|GAPDHP20-201|processed_pseudogene|chr1:32259974-32261081(-)",0.48,0.4986449864498645,1107
INTERGENIC,"ENSG00000226745[1,1,1]|retro_human_11102|OAZ1P1-201|processed_pseudogene|chr1:40002176-40002961(+)",0.6,0.6114649681528662,785
INTERGENIC,"ENSG00000234093[1,1,1]|retro_human_6703|RPS15AP11-201|processed_pseudogene|chr1:44651273-44651758(-)",0.58,0.4639175257731959,485
INTERGENIC,"ENSG00000226499[1,1,1]|AL136380.1-201|processed_pseudogene|chr1:44715105-44715367(-)",0.51,0.46564885496183206,262
INTERGENIC,"ENSG00000224680[1,1,1]|retro_human_5996|PLA2G12AP1-201|processed_pseudogene|chr1:52250091-52250759(+)",0.8,0.5254491017964071,668
INTERGENIC,"ENSG00000236290[1,1,1]|retro_human_5989|EEF1GP7-201|processed_pseudogene|chr1:52454533-52455336(+)",0.44,0.4806973848069738,803
INTERGENIC,"ENSG00000236253[1,1,2]|SLC25A3P1-201|transcribed_processed_pseudogene|chr1:53320557-53321589(-)",0.73,0.6501937984496124,1032
INTERGENIC,"ENSG00000236253[1,1,2]|SLC25A3P1-202|transcribed_processed_pseudogene|chr1:53320557-53321589(-)",0.73,0.6501937984496124,1032
INTERGENIC,"ENSG00000219102[1,1,1]|retro_human_6468|HNRNPA3P12-201|processed_pseudogene|chr1:53857827-53858990(-)",0.63,0.4514187446259673,1163
INTERGENIC,"ENSG00000225475[1,1,1]|AC099789.1-201|processed_pseudogene|chr1:56498222-56498465(-)",0.42,0.41975308641975306,243
INTERGENIC,"ENSG00000270209[1,1,1]|AL035411.2-201|processed_pseudogene|chr1:58430826-58431347(-)",0.38,0.40307101727447214,521
INTERGENIC,"ENSG00000238139[1,1,1]|AL590559.1-201|processed_pseudogene|chr1:67438560-67439034(+)",0.45,0.5147679324894515,474
INTERGENIC,"ENSG00000226324[1,1,1]|retro_human_8970|AL358453.1-201|processed_pseudogene|chr1:71244763-71245113(-)",0.56,0.5057142857142857,350
INTERGENIC,"ENSG00000226415[1,1,1]|retro_human_6606|TPI1P1-201|processed_pseudogene|chr1:76537373-76538223(+)",0.57,0.5682352941176471,850
INTERGENIC,"ENSG00000236407[1,1,1]|retro_human_1197|HMGB1P18-201|processed_pseudogene|chr1:80120972-80121691(+)",0.48,0.4047287899860918,719
INTERGENIC,"ENSG00000234518[1,1,1]|retro_human_1829|PTGES3P1-201|processed_pseudogene|chr1:88947587-88948170(-)",0.61,0.3927958833619211,583
INTERGENIC,"ENSG00000228175[1,1,1]|retro_human_109|GEMIN8P4-201|processed_pseudogene|chr1:89836764-89837593(-)",0.52,0.5464414957780458,829
INTERGENIC,"ENSG00000232393[1,1,1]|retro_human_6206|RPL5P6-201|processed_pseudogene|chr1:90868487-90869473(+)",0.44,0.43204868154158216,986
INTERGENIC,"ENSG00000223490[1,1,1]|CHCHD2P5-201|processed_pseudogene|chr1:93769478-93769978(-)",0.6,0.518,500
INTERGENIC,"ENSG00000137970[1,1,1]|retro_human_10319|RPL7P9-201|processed_pseudogene|chr1:96526957-96527804(-)",0.45,0.42621015348288077,847
INTERGENIC,"ENSG00000226483[1,1,1]|retro_human_5372|AL392088.1-201|processed_pseudogene|chr1:108541679-108542445(+)",0.32,0.43342036553524804,766
INTERGENIC,"ENSG00000235045[1,1,1]|retro_human_35|RPL7P8-201|processed_pseudogene|chr1:109679810-109680640(+)",0.44,0.40963855421686746,830
INTERGENIC,"ENSG00000224927[1,1,1]|retro_human_7083|NDUFA5P10-201|processed_pseudogene|chr1:109820735-109821192(-)",0.47,0.4048140043763676,457
INTERGENIC,"ENSG00000236012[1,1,1]|retro_human_4569|HIGD1AP12-201|processed_pseudogene|chr1:111394923-111395304(+)",0.47,0.4304461942257218,381
INTERGENIC,"ENSG00000233337[1,1,1]|retro_human_8213|UBE2FP3-201|processed_pseudogene|chr1:111452147-111452771(+)",0.49,0.38461538461538464,624
INTERGENIC,"ENSG00000232185[1,1,1]|retro_human_2739|CNOT7P2-201|processed_pseudogene|chr1:115575696-115576628(+)",0.48,0.40772532188841204,932
INTERGENIC,"ENSG00000228217[1,1,1]|PNRC2P1-201|processed_pseudogene|chr1:117787258-117787778(-)",0.45,0.38846153846153847,520
INTERGENIC,"ENSG00000226126[1,1,1]|retro_human_856|PSMC1P12-201|processed_pseudogene|chr1:118627493-118628907(-)",0.44,0.4243281471004243,1414
INTERGENIC,"ENSG00000233432[1,1,1]|retro_human_1733|MTIF2P1-201|processed_pseudogene|chr1:121511661-121513309(+)",0.36,0.37985436893203883,1648
INTERGENIC,"ENSG00000242352[1,1,1]|retro_human_2142|FAM91A3P-201|transcribed_processed_pseudogene|chr1:142838601-142841245(+)",0.67,0.4239788199697428,2644
INTERGENIC,"ENSG00000235988[1,1,1]|AC245100.5-201|processed_pseudogene|chr1:146489311-146489742(+)",0.34,0.5939675174013921,431
INTERGENIC,"ENSG00000237842[1,1,1]|retro_human_3832|SMU1P1-201|processed_pseudogene|chr1:156195995-156197626(-)",0.46,0.44083384426732064,1631
INTERGENIC,"ENSG00000224520[1,1,1]|retro_human_183|KRT8P45-201|processed_pseudogene|chr1:156210022-156211570(+)",0.6,0.5910852713178295,1548
INTERGENIC,"ENSG00000227425[1,1,1]|retro_human_181|MRPS21P2-201|processed_pseudogene|chr1:156998213-156998577(+)",0.51,0.489010989010989,364
INTERGENIC,"ENSG00000213075[1,1,2]|retro_human_5977|RPL31P11-201|transcribed_processed_pseudogene|chr1:161029106-161029621(-)",0.49,0.4601941747572815,515
INTERGENIC,"ENSG00000213075[1,1,2]|RPL31P11-202|transcribed_processed_pseudogene|chr1:161029106-161029621(-)",0.49,0.4601941747572815,515
INTERGENIC,"ENSG00000213070[1,1,1]|retro_human_8960|HMGB3P6-201|processed_pseudogene|chr1:163702501-163703199(+)",0.55,0.4584527220630373,698
INTERGENIC,"ENSG00000232341[1,1,1]|retro_human_3470|RPL4P2-201|processed_pseudogene|chr1:166093169-166094550(+)",0.57,0.46053584359160027,1381
INTERGENIC,"ENSG00000237049[1,1,1]|retro_human_1754|RPL34P1-201|processed_pseudogene|chr1:167562072-167562526(+)",0.41,0.41629955947136565,454
INTERGENIC,"ENSG00000230364[1,1,1]|retro_human_1899|RPL4P3-201|processed_pseudogene|chr1:171039543-171040954(-)",0.57,0.45357902197023386,1411
INTERGENIC,"ENSG00000230777[1,1,1]|retro_human_4076|RPS29P5-201|processed_pseudogene|chr1:175277246-175277517(+)",0.52,0.4797047970479705,271
INTERGENIC,"ENSG00000231684[1,1,1]|retro_human_5502|EIF1P3-201|processed_pseudogene|chr1:181695520-181695954(+)",0.53,0.4539170506912442,434
INTERGENIC,"ENSG00000228238[1,1,1]|retro_human_6966|AL096803.1-201|processed_pseudogene|chr1:185933017-185934138(+)",0.5,0.4433541480820696,1121
INTERGENIC,"ENSG00000228020[1,1,1]|retro_human_5863|HNRNPA1P46-201|processed_pseudogene|chr1:190492387-190493424(-)",0.47,0.4503375120540019,1037
INTERGENIC,"ENSG00000231333[1,1,1]|retro_human_3648|RPL34P6-201|processed_pseudogene|chr1:200120733-200121178(+)",0.45,0.41123595505617977,445
INTERGENIC,"ENSG00000236523[1,1,1]|retro_human_9117|NPM1P40-201|processed_pseudogene|chr1:202518473-202519304(+)",0.39,0.3971119133574007,831
INTERGENIC,"ENSG00000232917[1,1,1]|retro_human_5485|HSPE1P6-201|processed_pseudogene|chr1:203167628-203168019(-)",0.47,0.42455242966751916,391
INTERGENIC,"ENSG00000238137[1,1,1]|retro_human_2837|ARPC3P2-201|processed_pseudogene|chr1:210687843-210688476(+)",0.45,0.42496050552922593,633
INTERGENIC,"ENSG00000235182[1,1,1]|AC104333.1-201|processed_pseudogene|chr1:212098209-212098455(+)",0.29,0.3252032520325203,246
